drug_name,drug_class,pediatric_use_under_6,pediatric_dosing_note,adult_dosing_note,route_of_administration,rx_or_otc
Alprazolam,Benzodiazepine,No,Not recommended under 18,0.25–2 mg/day,Oral,Rx
Lorazepam,Benzodiazepine,Limited use,Specialist dosing,1–10 mg/day,Oral/IV,Rx
Clonazepam,Benzodiazepine,Limited use,Specialist dosing,0.5–4 mg/day,Oral,Rx
Zolpidem,Sedative hypnotic,No,Not recommended under 18,5–10 mg nightly,Oral,Rx
Trazodone,Atypical antidepressant,Limited use,Specialist dosing,50–300 mg daily,Oral,Rx
Mirtazapine,Antidepressant,Limited use,Specialist dosing,15–45 mg nightly,Oral,Rx
Quetiapine,Atypical antipsychotic,Limited use,Specialist dosing,150–800 mg/day,Oral,Rx
Aripiprazole,Atypical antipsychotic,Limited use,Specialist dosing,10–30 mg daily,Oral,Rx
Risperidone,Atypical antipsychotic,Limited use,Specialist dosing,1–6 mg daily,Oral,Rx
Lithium,Mood stabilizer,Limited use,Serum level monitored dosing,900–1800 mg/day,Oral,Rx
Lamotrigine,Anticonvulsant,Limited use,Weight-based dosing,100–400 mg/day,Oral,Rx
Valproate,Anticonvulsant,Limited use,Weight-based dosing,500–2000 mg/day,Oral,Rx
Albuterol,Beta2 agonist bronchodilator,Yes,Weight-based inhalation dosing,2 puffs every 4–6h PRN,Inhalation,Rx/OTC
Fluticasone (inhaled),Inhaled corticosteroid,Yes,Weight-based dosing,100–500 mcg daily,Inhalation,Rx
Montelukast,Leukotriene receptor antagonist,Yes,Age-based dosing,10 mg daily,Oral,Rx
Tiotropium,Anticholinergic bronchodilator,Limited use,Specialist dosing,18 mcg daily,Inhalation,Rx
Salmeterol,Long acting beta agonist,Limited use,Specialist dosing,50 mcg twice daily,Inhalation,Rx
Budesonide (inhaled),Inhaled corticosteroid,Yes,Weight-based dosing,200–800 mcg/day,Inhalation,Rx
Ipratropium,Anticholinergic bronchodilator,Yes,Weight-based dosing,2 puffs four times daily,Inhalation,Rx
Cetirizine,Antihistamine,Yes,Age-based dosing,10 mg daily,Oral,OTC
Loratadine,Antihistamine,Yes,Age-based dosing,10 mg daily,Oral,OTC
Fexofenadine,Antihistamine,Yes,Age-based dosing,60–180 mg daily,Oral,OTC
Diphenhydramine,Antihistamine,Yes,Weight-based dosing,25–50 mg every 6h,Oral/IV,OTC
Prednisone,Systemic corticosteroid,Yes,Weight-based dosing,5–60 mg daily,Oral,Rx
Methylprednisolone,Systemic corticosteroid,Yes,Weight-based dosing,4–48 mg daily,Oral/IV,Rx
Omeprazole,Proton pump inhibitor,Yes,Weight-based dosing,20–40 mg daily,Oral,OTC/Rx
Pantoprazole,Proton pump inhibitor,Limited use,Weight-based dosing,40 mg daily,Oral/IV,Rx
Esomeprazole,Proton pump inhibitor,Limited use,Weight-based dosing,20–40 mg daily,Oral,Rx
Lansoprazole,Proton pump inhibitor,Yes,Weight-based dosing,15–30 mg daily,Oral,OTC/Rx
Ranitidine,H2 blocker,Limited use,Weight-based dosing,150 mg twice daily,Oral,Rx
Famotidine,H2 blocker,Yes,Weight-based dosing,20–40 mg daily,Oral/IV,OTC/Rx
Ondansetron,Antiemetic,Yes,Weight-based dosing,4–8 mg every 8h,Oral/IV,Rx
Metoclopramide,Prokinetic agent,Limited use,Specialist dosing,10 mg up to 4x daily,Oral/IV,Rx
Dicyclomine,Antispasmodic,No,Not recommended under 6,20 mg four times daily,Oral,Rx
Loperamide,Antidiarrheal,Limited use,Age-based dosing,4 mg then 2 mg after stool,Oral,OTC
Polyethylene glycol (MiraLAX),Osmotic laxative,Yes,Weight-based dosing,17 g daily typical,Oral,OTC
Docusate,Stool softener,Yes,Age-based dosing,100–200 mg daily,Oral,OTC
Levothyroxine,Thyroid hormone,Yes,Weight-based dosing,25–200 mcg daily,Oral,Rx
Liothyronine,Thyroid hormone,Limited use,Specialist dosing,5–75 mcg daily,Oral,Rx
Methimazole,Antithyroid drug,Limited use,Weight-based dosing,5–30 mg daily,Oral,Rx
Estradiol,Estrogen hormone,No,Not used under 6,0.5–2 mg daily,Oral/Transdermal,Rx
Progesterone,Progestin hormone,No,Not used under 6,100–200 mg daily,Oral,Rx
Medroxyprogesterone,Progestin hormone,No,Not used under 6,5–10 mg daily,Oral/Injection,Rx
Testosterone,Androgen hormone,No,Not used under 6,Individualized dosing,Injection/Topical,Rx
Finasteride,5-alpha reductase inhibitor,No,Not used under 18,1–5 mg daily,Oral,Rx
Dutasteride,5-alpha reductase inhibitor,No,Not used under 18,0.5 mg daily,Oral,Rx
